date_occurred,embed_url,description,home_team,away_team
16/9/2014 ,https://www.youtube.com/embed/RAWvfKPMlmI,"After Derek Jeter is hit by a pitch and Joe Girardi is ejected, David Phelps throws a brushback pitch and both benches clear",Rays,Yankees
26/9/2016,https://www.youtube.com/embed/dQlwgP5oxd0,"Donaldson got hit by an unintentional inside pitch, then JA Happ retaliated intentionally",Blue Jays,Yankees
14/9/2016,https://www.youtube.com/embed/ynbL9NOcfXg,The benches clear and Jose Ramirez is ejected after he throws a ball with Jose Fernandez batting in the top of the 7th inning,Braves,Marlins
25/5/2014,https://www.youtube.com/embed/AR5eboivrIY,"Yunel Escobar, Sean Rodriguez and Jonny Gomes are ejected when benches clear after Escobar steals third base with a five-run lead",Rays,Red Sox
7/7/2016,https://www.youtube.com/embed/Kl9jkfStaSw,"Following Hector Rondon's pitch inside to Jeff Francoeur, tensions escalate and the benches empty in the top of the 9th inning",Braves,Cubs
25/9/2016,https://www.youtube.com/embed/r2ceBetx-oE,The benches clear and A.J. Cole is ejected after he throws a ball behind Jung Ho Kang in the bottom of the 3rd inning,Pirates,Nationals
9/8/2016,https://www.youtube.com/embed/1RyM3pixUU8,"Jackie Bradley Jr. fields a ball off the wall in center and fires to third to cut down Chase Headley, then the benches clear in the 7th",Red Sox,Yankees
19/9/2016,https://www.youtube.com/embed/gnf4zyAQQOY,"After Yasiel Puig grounds out to Madison Bumgarner, the two exchange words and the benches clear in the bottom of the 7th inning",Dodgers,Giants
11/9/2014,https://www.youtube.com/embed/kWa-ZaZmgoo,Benches clear after Reed Johnson swings and is hit with the pitch and both Casey McGehee and Mike Redmond are ejected in the 5th,Brewers,Marlins
13/8/2016,https://www.youtube.com/embed/m3x3CXhLN40,"Tyler Anderson is ejected from the game after hitting Maikel Franco with a pitch, prompting the benches to clear in the bottom of the 4th ",Phillies,Rockies
7/6/2017,https://www.youtube.com/embed/919dfTro6ZY,Manny Machado is hit by a pitch by Yordano Ventura and a benches-clearing altercation ensues in the bottom of the 5th inning,Orioles,Royals
3/6/2015,https://www.youtube.com/embed/q1ZYiTl585Q,"Junior Lake belts a two-run home run in the 6th, and then the benches clear after Lake and J.T. Realmuto exchange words at home",Cubs,Marlins
25/8/2015,https://www.youtube.com/embed/1UfcfENiSEw,"After Carlos Gomez gets emotional near home plate after a flyout, the Astros and Yankees' benches clear",Yankees,Astros
2/10/2014,"https://www.youtube.com/embed/vSjYc280vaU""","Yasiel Puig is plunked by Adam Wainwright, causing benches to clear as the two clubs have history dating back to last year's NLCS",Dodgers,Cardinals
12/9/2016,https://www.youtube.com/embed/vaaxDnet95g,"Roberto Osuna induces a lineout from Steven Souza Jr. to end the game and notch the save, then both benches come out on to the field",Blue Jays,Rays
18/7/2015,https://www.youtube.com/embed/KH0ZMd1Ixpk,"Rougned Odor and Hank Conger exchange words at the plate, forcing the benches to clear in the 9th inning",Astros,Rangers
30/5/2014,https://www.youtube.com/embed/d0f4hWb5q0U,"Both benches clear after Mike Carp is hit by a pitch from David Price, and Red Sox bench coach Torey Lovullo is ejected
",Red Sox,Rays
30/9/2015,https://www.youtube.com/embed/5ZVgtVeGbds,"Hansel Robles and Terry Collins are ejected after his pitch goes up and in on Cameron Rupp, causing the benches to clear in the 6th",Phillies,Mets
12/4/2015,https://www.youtube.com/embed/Wm6NhocJT8c,Albert Pujols rips an RBI single into center field and the benches clear after Mike Trout hustles home to score,Angels of Anaheim,Royals
25/9/2013,https://www.youtube.com/embed/rAxJunWPDdg,"Carlos Gomez hits a homer off Paul Maholm and benches clear after Gomez exchanges words with Freddie Freeman, Brian McCann and several Braves players.",Braves,Brewers
2/8/2015,https://www.youtube.com/embed/aUYaT7RGb00,"Tony Watson hits Brandon Phillips on the wrist in the 8th inning, resulting in both benches clearing and three ejections",Reds,Pirates
11/6/2015,https://www.youtube.com/embed/iUFiEndA8UQ,"Matt Kemp gets upset after being hit by a Julio Teheran pitch, which leads to the benches clearing in the 1st inning",Braves,Padres
9/5/2015,https://www.youtube.com/embed/gOHSMeLK1vc,"After a pickoff attempt, Asdrubal Cabrera and Adam Rosales exchange words, leading to the benches clearing in the 4th inning",Rays,Rangers
23/4/2015,https://www.youtube.com/embed/l-3vTjr-xlU,"Yordano Ventura and Adam Eaton argue while walking off the field, prompting benches to clear and tempers to flare",White Sox,Royals
7/8/2015,https://www.youtube.com/embed/TM97g2CS9J8,Larry Bowa gets upset after a quick pitch from Hansel Robles and gets ejected as the benches clear,Phillies,Mets
11/9/2013,https://www.youtube.com/embed/S6OxpsF4aNw,"Marlins rookie Jose Fernandez hits his first career homer, but the Braves take exception as he admires the blast, which causes the benches to clear.",Marlins,Braves
15/2/2015,https://www.youtube.com/embed/Du9w9UdO_1w,The benches clear in the 8th inning after Aaron Sanchez is ejected for hitting Alcides Escobar with a pitch,Blue Jays,Royals
1/9/2010,https://www.youtube.com/embed/ZkyAiLJv7EQ,Tempers flare causing benches to clear,Marlins,Nationals
2/5/2014,https://www.youtube.com/embed/OWWckTf1GX0,"Denard Span hits an RBI groundout but takes exception to Cliff Lee's earlier quick close-pitch, causing the benches to clear
",Phillies,Nationals
15/9/2016,https://www.youtube.com/embed/pQBE5ChMRLo,"Archie Bradley and Rich Hill exchange words after Hill grounds out, prompting benches to clear",Diamondbacks,Dodgers
26/9/2016,https://www.youtube.com/embed/1Mq3McfTnnU,"Luis Severino hits Justin Smoak and the benches clear again in the bottom of the 2nd inning, as Severino is ejected from the game",Blue Jays,Yankees
19/9/2008,https://www.youtube.com/embed/qFvJwNev-uo,The Tigers and Indians have a heated exchange fueled by Gary Sheffield getting hit by a pitch,Indians,Tigers
21/4/2016,https://www.youtube.com/embed/_5y55OKEk4E,"Josh Osich hits David Peralta with a pitch for the second time in as many days, causing both dugouts to empty in the 8th inning",Giants,Diamondbacks
8/7/2011,https://www.youtube.com/embed/a-26z3K0Hi8,"Gregg, Papi exchange words as benches clear",Red Sox,Orioles
3/8/2016,https://www.youtube.com/embed/5KSbI__CQqk,"Mark Teixeira has words for Steven Matz after being hit by a pitch, prompting the benches to clear in the 8th inning",Yankees,Mets
15/5/2016,https://www.youtube.com/embed/zlcRKhSUcY8,Benches clear and tempers flare after Bautista has a hard slide into second baseman Rougned Odor. ,Rangers,Blue Jays
5/6/1999,https://www.youtube.com/embed/PpcXNeMp-kQ,Dodgers pitcher Chan Ho Park goes after Angels pitcher Tim Belcher after Park's bunt in the bottom of the 5th,Dodgers,Angels of Anaheim
19/8/2010,https://www.youtube.com/embed/SvDTbY3oKfE,"Red Sox, Indians exchange heated words",Red Sox,Indians
19/4/2014,https://www.youtube.com/embed/aPRyvruMr08,"David Ross takes a couple high-and-tight pitches while attempting to bunt, admonishes Bud Norris and the benches briefly clear",Red Sox,Orioles
24/9/2014,https://www.youtube.com/embed/8F8kDaL4y0c,"Victor Martinez is hit by a Chris Sale pitch in the 6th, after which the benches clear and the teams exchange words",Tigers,White Sox
17/5/2016,https://www.youtube.com/embed/f9sq-97fpqc,"After Madison Bumgarner strikes out Wil Myers, they exchange words and tempers flare, causing both benches to clear ",Padres,Giants
17/4/2015,https://www.youtube.com/embed/BSW8Vvu6G6Q,"Brett Lawrie slides hard into second, injuring Alcides Escobar's left knee and emptying the benches on a play that is reviewed",Royals,Athletics
11/4/2013,https://www.youtube.com/embed/xu-O6ACpgKk,Vin Scully walks us through all the on-field commotion after Zack Greinke plunks Carlos Quentin and the benches clear in Dodgers-Padres game.,Padres,Dodgers
2/9/2010,https://www.youtube.com/embed/f_49N02D0MU,Crazy fight between Nationals and Marlins,Marlins,Nationals
20/5/2006,https://www.youtube.com/embed/Tivag5pOBhM,"A.J. Pierzynski barrels into Michael Barrett to score on a sac fly, causing Barrett to react and both White Sox and Cubs benches to clear.",White Sox,Cubs
8/4/1993,https://www.youtube.com/embed/VIZB9O24BEE,"In one of the most infamous bench-clearing incidents in MLB history, Robin Ventura charges the mound after being hit by Nolan Ryan.",Rangers,White Sox
11/10/2003,https://www.youtube.com/embed/AsuYIN7y8Ew,"After a close pitch from Pedro Martinez to Karim Garcia, Manny Ramirez takes exception to a Roger Clemens pitch and benches clear. Don Zimmer winds up on the ground.",Red Sox,Yankees
24/7/2004,https://www.youtube.com/embed/IGuF-Wy_QUc,"Alex Rodriguez and Jason Varitek fight, leading to both Yankees and Red Sox benches and bullpens clearing.",Red Sox,Yankees
12/8/1984,https://www.youtube.com/embed/HZgw-ujI8UI,"In the bottom of the eighth, Craig Lefferts hits Pascual Perez, causing both benches to clear.",Braves,Padres
